timestamp,frame_number,frame_len,frame_protocols,ip_src,ip_dst,tcp_srcport,tcp_dstport,tcp_flags,udp_srcport,udp_dstport,dns_qry_name,tls_handshake_extensions_server_name,http_request_method,http_request_uri,http_response_code
2026-02-10T17:41:09.139977,,,,10.8.0.1,239.255.255.250,,,,45559,1900,,,,,
2026-02-10T17:41:09.139990,,,,127.0.0.1,127.0.0.1,,,,38178,1194,,,,,
2026-02-10T17:41:09.140007,,,,10.8.0.6,239.255.255.250,,,,57158,1900,,,,,
2026-02-10T17:41:10.140919,,,,10.8.0.1,239.255.255.250,,,,45559,1900,,,,,
2026-02-10T17:41:10.140945,,,,10.8.0.6,239.255.255.250,,,,57158,1900,,,,,
2026-02-10T17:41:10.140958,,,,192.168.0.167,239.255.255.250,,,,60770,1900,,,,,
2026-02-10T17:41:10.141861,,,,127.0.0.1,127.0.0.1,,,,1194,38178,,,,,
2026-02-10T17:41:10.141910,,,,10.8.0.1,239.255.255.250,,,,45559,1900,,,,,
2026-02-10T17:41:10.141927,,,,127.0.0.1,127.0.0.1,,,,38178,1194,,,,,
2026-02-10T17:41:10.141950,,,,10.8.0.6,239.255.255.250,,,,57158,1900,,,,,
2026-02-10T17:41:11.141617,,,,10.8.0.1,239.255.255.250,,,,45559,1900,,,,,
2026-02-10T17:41:11.141695,,,,127.0.0.1,127.0.0.1,,,,1194,38178,,,,,
2026-02-10T17:41:11.141786,,,,10.8.0.1,239.255.255.250,,,,45559,1900,,,,,
2026-02-10T17:41:11.141806,,,,10.8.0.6,239.255.255.250,,,,57158,1900,,,,,
2026-02-10T17:41:11.141825,,,,127.0.0.1,127.0.0.1,,,,38178,1194,,,,,
2026-02-10T17:41:11.141848,,,,10.8.0.6,239.255.255.250,,,,57158,1900,,,,,
2026-02-10T17:41:11.141865,,,,192.168.0.167,239.255.255.250,,,,60770,1900,,,,,
2026-02-10T17:41:12.142938,,,,10.8.0.1,239.255.255.250,,,,45559,1900,,,,,
2026-02-10T17:41:12.142963,,,,10.8.0.6,239.255.255.250,,,,57158,1900,,,,,
2026-02-10T17:41:12.142977,,,,192.168.0.167,239.255.255.250,,,,60770,1900,,,,,
2026-02-10T17:41:12.143886,,,,127.0.0.1,127.0.0.1,,,,1194,38178,,,,,
2026-02-10T17:41:12.143937,,,,10.8.0.1,239.255.255.250,,,,45559,1900,,,,,
2026-02-10T17:41:12.143950,,,,127.0.0.1,127.0.0.1,,,,38178,1194,,,,,
2026-02-10T17:41:12.143966,,,,10.8.0.6,239.255.255.250,,,,57158,1900,,,,,
2026-02-10T17:41:15.620750,,,,192.168.0.167,172.217.2.138,,,,33306,443,,,,,
2026-02-10T17:41:15.635581,,,,172.217.2.138,192.168.0.167,,,,443,33306,,,,,
2026-02-10T17:41:20.002849,,,,,,,,,,,,,,,
2026-02-10T17:41:20.786528,,,,,,,,,,,,,,,
2026-02-10T17:41:20.788979,,,,,,,,,,,,,,,
2026-02-10T17:41:20.963820,,,,172.217.2.138,192.168.0.167,,,,443,33306,,,,,
2026-02-10T17:41:20.968639,,,,192.168.0.167,172.217.2.138,,,,33306,443,,,,,
2026-02-10T17:41:22.370628,,,,127.0.0.1,127.0.0.1,,,,38178,1194,,,,,
2026-02-10T17:41:22.370698,,,,127.0.0.1,127.0.0.1,,,,1194,38178,,,,,
2026-02-10T17:41:26.147290,,,,192.168.0.167,172.217.2.138,,,,33306,443,,,,,
2026-02-10T17:41:26.148481,,,,192.168.0.167,172.217.2.138,,,,33306,443,,,,,
2026-02-10T17:41:26.165940,,,,172.217.2.138,192.168.0.167,,,,443,33306,,,,,
2026-02-10T17:41:26.170655,,,,192.168.0.167,172.217.2.138,,,,33306,443,,,,,
2026-02-10T17:41:26.202937,,,,172.217.2.138,192.168.0.167,,,,443,33306,,,,,
2026-02-10T17:41:26.202938,,,,172.217.2.138,192.168.0.167,,,,443,33306,,,,,
2026-02-10T17:41:26.203282,,,,192.168.0.167,172.217.2.138,,,,33306,443,,,,,
2026-02-10T17:41:26.210960,,,,192.168.0.167,172.217.2.138,,,,33306,443,,,,,
2026-02-10T17:41:26.220188,,,,172.217.2.138,192.168.0.167,,,,443,33306,,,,,
2026-02-10T17:41:31.013656,,,,,,,,,,,,,,,
2026-02-10T17:41:32.522588,,,,127.0.0.1,127.0.0.1,,,,38178,1194,,,,,
2026-02-10T17:41:32.522655,,,,127.0.0.1,127.0.0.1,,,,1194,38178,,,,,
2026-02-10T17:41:41.149707,,,,192.168.0.167,172.217.2.138,,,,33306,443,,,,,
2026-02-10T17:41:41.165508,,,,172.217.2.138,192.168.0.167,,,,443,33306,,,,,
2026-02-10T17:41:41.192654,,,,172.217.2.138,192.168.0.167,,,,443,33306,,,,,
2026-02-10T17:41:41.197646,,,,192.168.0.167,172.217.2.138,,,,33306,443,,,,,
2026-02-10T17:41:41.529271,,,,192.168.0.167,192.178.56.133,35200,443,0x00000010,,,,,,,
2026-02-10T17:41:41.541997,,,,192.178.56.133,192.168.0.167,443,35200,0x00000010,,,,,,,
2026-02-10T17:41:42.023423,,,,,,,,,,,,,,,
2026-02-10T17:41:42.759513,,,,127.0.0.1,127.0.0.1,,,,1194,38178,,,,,
2026-02-10T17:41:42.759578,,,,127.0.0.1,127.0.0.1,,,,38178,1194,,,,,
2026-02-10T17:41:52.838890,,,,127.0.0.1,127.0.0.1,,,,1194,38178,,,,,
2026-02-10T17:41:52.838938,,,,127.0.0.1,127.0.0.1,,,,38178,1194,,,,,
2026-02-10T17:41:53.033674,,,,,,,,,,,,,,,
2026-02-10T17:41:55.500750,,,,192.178.56.133,192.168.0.167,443,35200,0x00000018,,,,,,,
2026-02-10T17:41:55.501138,,,,192.168.0.167,192.178.56.133,35200,443,0x00000011,,,,,,,
2026-02-10T17:41:55.515005,,,,192.178.56.133,192.168.0.167,443,35200,0x00000011,,,,,,,
2026-02-10T17:41:55.515055,,,,192.168.0.167,192.178.56.133,35200,443,0x00000010,,,,,,,
2026-02-10T17:41:56.150865,,,,192.168.0.167,172.217.2.138,,,,33306,443,,,,,
2026-02-10T17:41:56.167340,,,,172.217.2.138,192.168.0.167,,,,443,33306,,,,,
2026-02-10T17:42:00.722885,,,,,,,,,,,,,,,
2026-02-10T17:42:00.726021,,,,,,,,,,,,,,,
2026-02-10T17:42:01.538786,,,,172.217.2.138,192.168.0.167,,,,443,33306,,,,,
2026-02-10T17:42:01.543246,,,,192.168.0.167,172.217.2.138,,,,33306,443,,,,,
