timestamp,frame_number,frame_len,frame_protocols,ip_src,ip_dst,tcp_srcport,tcp_dstport,tcp_flags,udp_srcport,udp_dstport,dns_qry_name,tls_handshake_extensions_server_name,http_request_method,http_request_uri,http_response_code
2026-02-10T15:11:09.052484,,,,10.8.0.6,239.255.255.250,,,,54216,1900,,,,,
2026-02-10T15:11:09.052504,,,,192.168.0.167,239.255.255.250,,,,33837,1900,,,,,
2026-02-10T15:11:09.053487,,,,127.0.0.1,127.0.0.1,,,,1194,38178,,,,,
2026-02-10T15:11:09.053550,,,,10.8.0.1,239.255.255.250,,,,55756,1900,,,,,
2026-02-10T15:11:09.053569,,,,127.0.0.1,127.0.0.1,,,,38178,1194,,,,,
2026-02-10T15:11:09.053596,,,,10.8.0.6,239.255.255.250,,,,54216,1900,,,,,
2026-02-10T15:11:10.054638,,,,10.8.0.1,239.255.255.250,,,,55756,1900,,,,,
2026-02-10T15:11:10.054664,,,,10.8.0.6,239.255.255.250,,,,54216,1900,,,,,
2026-02-10T15:11:10.054677,,,,192.168.0.167,239.255.255.250,,,,33837,1900,,,,,
2026-02-10T15:11:10.055409,,,,127.0.0.1,127.0.0.1,,,,1194,38178,,,,,
2026-02-10T15:11:10.055447,,,,10.8.0.1,239.255.255.250,,,,55756,1900,,,,,
2026-02-10T15:11:10.055458,,,,127.0.0.1,127.0.0.1,,,,38178,1194,,,,,
2026-02-10T15:11:10.055472,,,,10.8.0.6,239.255.255.250,,,,54216,1900,,,,,
2026-02-10T15:11:11.055827,,,,10.8.0.1,239.255.255.250,,,,55756,1900,,,,,
2026-02-10T15:11:11.055862,,,,10.8.0.6,239.255.255.250,,,,54216,1900,,,,,
2026-02-10T15:11:11.055880,,,,192.168.0.167,239.255.255.250,,,,33837,1900,,,,,
2026-02-10T15:11:11.057115,,,,127.0.0.1,127.0.0.1,,,,1194,38178,,,,,
2026-02-10T15:11:11.057166,,,,10.8.0.1,239.255.255.250,,,,55756,1900,,,,,
2026-02-10T15:11:11.057182,,,,127.0.0.1,127.0.0.1,,,,38178,1194,,,,,
2026-02-10T15:11:11.057205,,,,10.8.0.6,239.255.255.250,,,,54216,1900,,,,,
2026-02-10T15:11:12.056795,,,,10.8.0.1,239.255.255.250,,,,55756,1900,,,,,
2026-02-10T15:11:12.056814,,,,10.8.0.6,239.255.255.250,,,,54216,1900,,,,,
2026-02-10T15:11:12.056826,,,,192.168.0.167,239.255.255.250,,,,33837,1900,,,,,
2026-02-10T15:11:12.057579,,,,127.0.0.1,127.0.0.1,,,,1194,38178,,,,,
2026-02-10T15:11:12.057659,,,,10.8.0.1,239.255.255.250,,,,55756,1900,,,,,
2026-02-10T15:11:12.057671,,,,127.0.0.1,127.0.0.1,,,,38178,1194,,,,,
2026-02-10T15:11:12.057690,,,,10.8.0.6,239.255.255.250,,,,54216,1900,,,,,
2026-02-10T15:11:13.182218,,,,,,,,,,,,,,,
2026-02-10T15:11:20.500133,,,,192.168.0.167,172.217.2.138,,,,57486,443,,,,,
2026-02-10T15:11:20.518913,,,,172.217.2.138,192.168.0.167,,,,443,57486,,,,,
2026-02-10T15:11:20.994453,,,,192.168.0.167,192.168.0.1,,,,34164,53,,,,,
2026-02-10T15:11:20.995246,,,,192.168.0.167,192.168.0.1,,,,49072,53,,,,,
2026-02-10T15:11:21.009520,,,,,,,,,,,,,,,
2026-02-10T15:11:21.009539,,,,,,,,,,,,,,,
2026-02-10T15:11:21.012262,,,,192.168.0.1,192.168.0.167,,,,53,34164,,,,,
2026-02-10T15:11:21.013081,,,,192.168.0.1,192.168.0.167,,,,53,49072,,,,,
2026-02-10T15:11:21.013955,,,,192.168.0.167,216.239.36.223,,,,45149,443,,,,,
2026-02-10T15:11:21.015002,,,,192.168.0.167,216.239.36.223,,,,45149,443,,,,,
2026-02-10T15:11:21.055034,,,,216.239.36.223,192.168.0.167,,,,443,45149,,,,,
2026-02-10T15:11:21.055034,,,,216.239.36.223,192.168.0.167,,,,443,45149,,,,,
2026-02-10T15:11:21.055034,,,,216.239.36.223,192.168.0.167,,,,443,45149,,,,,
2026-02-10T15:11:21.055034,,,,216.239.36.223,192.168.0.167,,,,443,45149,,,,,
2026-02-10T15:11:21.055924,,,,192.168.0.167,216.239.36.223,,,,45149,443,,,,,
2026-02-10T15:11:21.056480,,,,192.168.0.167,216.239.36.223,,,,45149,443,,,,,
2026-02-10T15:11:21.057046,,,,192.168.0.167,216.239.36.223,,,,45149,443,,,,,
2026-02-10T15:11:21.057890,,,,216.239.36.223,192.168.0.167,,,,443,45149,,,,,
2026-02-10T15:11:21.070415,,,,216.239.36.223,192.168.0.167,,,,443,45149,,,,,
2026-02-10T15:11:21.071226,,,,216.239.36.223,192.168.0.167,,,,443,45149,,,,,
2026-02-10T15:11:21.071433,,,,192.168.0.167,216.239.36.223,,,,45149,443,,,,,
2026-02-10T15:11:21.119435,,,,216.239.36.223,192.168.0.167,,,,443,45149,,,,,
2026-02-10T15:11:21.119435,,,,216.239.36.223,192.168.0.167,,,,443,45149,,,,,
2026-02-10T15:11:21.120069,,,,192.168.0.167,216.239.36.223,,,,45149,443,,,,,
2026-02-10T15:11:21.146644,,,,192.168.0.167,216.239.36.223,,,,45149,443,,,,,
2026-02-10T15:11:21.159710,,,,216.239.36.223,192.168.0.167,,,,443,45149,,,,,
2026-02-10T15:11:22.282045,,,,127.0.0.1,127.0.0.1,,,,1194,38178,,,,,
2026-02-10T15:11:22.282143,,,,127.0.0.1,127.0.0.1,,,,38178,1194,,,,,
2026-02-10T15:11:24.192647,,,,,,,,,,,,,,,
2026-02-10T15:11:25.353900,,,,192.168.0.167,172.217.2.138,,,,57486,443,,,,,
2026-02-10T15:11:25.355159,,,,192.168.0.167,172.217.2.138,,,,57486,443,,,,,
2026-02-10T15:11:25.372959,,,,172.217.2.138,192.168.0.167,,,,443,57486,,,,,
2026-02-10T15:11:25.377692,,,,192.168.0.167,172.217.2.138,,,,57486,443,,,,,
2026-02-10T15:11:25.411386,,,,172.217.2.138,192.168.0.167,,,,443,57486,,,,,
2026-02-10T15:11:25.411387,,,,172.217.2.138,192.168.0.167,,,,443,57486,,,,,
2026-02-10T15:11:25.412180,,,,192.168.0.167,172.217.2.138,,,,57486,443,,,,,
2026-02-10T15:11:25.419481,,,,192.168.0.167,172.217.2.138,,,,57486,443,,,,,
2026-02-10T15:11:25.429877,,,,172.217.2.138,192.168.0.167,,,,443,57486,,,,,
2026-02-10T15:11:25.622761,,,,172.217.2.138,192.168.0.167,,,,443,57486,,,,,
